Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
1.7421875,-60266.10938
1.75,-60251.60938
1.7578125,-60197.875
1.765625,-60123.70703
1.7734375,-60052.57813
1.78125,-60001.59766
1.7890625,-59976.6875
1.796875,-59974.53906
1.8046875,-59985
1.8125,-59998.68359
1.8203125,-60007.49219
1.828125,-60007.22266
1.8359375,-59997.68359
1.84375,-59979.93359
1.8515625,-59957.21875
1.859375,-59929.625
1.8671875,-59894.21484
1.875,-59844.40234
1.8828125,-59770.69531
1.890625,-59666.65625
1.8984375,-59529.99219
1.90625,-59366.59375
1.9140625,-59188.625
1.921875,-59010.30469
1.9296875,-58843.30078
1.9375,-58691.98438
1.9453125,-58554.26953
1.953125,-58424.87109
1.9609375,-58300.09375
1.96875,-58180.87891
1.9765625,-58071.08984
1.984375,-57975.46484
1.9921875,-57896.30469
2,-57831.01953
2.0078125,-57786.20313
2.015625,-57758.03125
2.0234375,-57748.35156
2.03125,-57755.49219
2.0390625,-57773.80469
2.046875,-57794.58984
2.0546875,-57807.44922
2.0625,-57806.94141
2.0703125,-57791.70313
2.078125,-57765.89063
2.0859375,-57737.17578
2.09375,-57713.32813
2.1015625,-57703.14844
2.109375,-57711.28125
2.1171875,-57737.70313
2.125,-57775.72266
2.1328125,-57812.51172
2.140625,-57836.84766
2.1484375,-57842.8125
2.15625,-57835.07813
2.1640625,-57825.25781
2.171875,-57823.10938
2.1796875,-57830.94531
2.1875,-57839.93359
2.1953125,-57838.34375
2.203125,-57821.09766
2.2109375,-57796.12109
2.21875,-57782.54297
2.2265625,-57799.23047
2.234375,-57853.87109
2.2421875,-57937.63672
2.25,-58029.50391
2.2578125,-58107.59375
2.265625,-58158.15625
2.2734375,-58179.37109
2.28125,-58176.82422
2.2890625,-58156.40625
2.296875,-58119.83984
2.3046875,-58064.01953
2.3125,-57985.66797
2.3203125,-57884.78906
2.328125,-57766.28516
2.3359375,-57639.50391
2.34375,-57514.16016
2.3515625,-57399.38281
2.359375,-57301.17188
2.3671875,-57222.37891
2.375,-57163.88672
2.3828125,-57123.74609
2.390625,-57101.20703
2.3984375,-57095.80078
2.40625,-57108.39844
2.4140625,-57140.52734
2.421875,-57190.30859
2.4296875,-57254.19141
2.4375,-57325.30078
2.4453125,-57397.37109
2.453125,-57467.87109
2.4609375,-57536.64844
2.46875,-57606.91797
2.4765625,-57679.11719
2.484375,-57750.59766
2.4921875,-57816.44922
2.5,-57894.67188
2.5078125,-57933.51172
2.515625,-57967.65234
2.5234375,-58003.73047
2.53125,-58043.27344
2.5390625,-58082.50391
2.546875,-58113.31641
